Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
197,19-02-2018,05-02-2018,10-02-2018,,,,,,,,
198,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,07-03-2018,,15-03-2018,M
199,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,24-02-2018,01-03-2018,04-03-2018,08-03-2018,19-03-2018,F
200,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,03-03-2018,,07-03-2018,,18-03-2018,F
Extras,,,,,,,,,,,
1,,05-02-2018,10-02-2018,,,,,,,23-03-2018,F
2,,05-02-2018,10-02-2018,,,,,,,,
3,,05-02-2018,10-02-2018,,,,,,,,
4,,05-02-2018,10-02-2018,,,,,,,13-03-2018,M
5,,05-02-2018,10-02-2018,,,,,,,14-03-2018,M
6,,05-02-2018,10-02-2018,,,,,,,18-03-2018,F
7,,05-02-2018,10-02-2018,,,,,,,,
8,,05-02-2018,10-02-2018,,,,,,,,
9,,05-02-2018,10-02-2018,,,,,,,14-03-2018,M
10,,05-02-2018,10-02-2018,,,,,,,15-03-2018,M
11,,05-02-2018,10-02-2018,,,,,,,13-03-2018,M
12,,05-02-2018,10-02-2018,,,,,,,,
13,,05-02-2018,10-02-2018,,,,,,,,
14,,05-02-2018,10-02-2018,,,,,,,,
15,,05-02-2018,10-02-2018,,,,,,,,
16,,05-02-2018,10-02-2018,,,,,,,16-03-2018,F
17,,05-02-2018,10-02-2018,,,,,,,22-03-2018,F
18,,05-02-2018,10-02-2018,,,,,,,16-03-2018,M
19,,05-02-2018,10-02-2018,,,,,,,21-03-2018,F
20,,05-02-2018,10-02-2018,,,,,,,,
21,,05-02-2018,10-02-2018,,,,,,,,
22,,05-02-2018,10-02-2018,,,,,,,25-03-2018,M
23,,05-02-2018,10-02-2018,,,,,,,16-03-2018,F
24,,05-02-2018,10-02-2018,,,,,,,14-03-2018,M
25,,05-02-2018,10-02-2018,,,,,,,15-03-2018,M
26,,05-02-2018,10-02-2018,,,,,,,21-03-2018,F
27,,05-02-2018,10-02-2018,,,,,,,,
28,,05-02-2018,10-02-2018,,,,,,,20-03-2018,F
29,,05-02-2018,10-02-2018,,,,,,,,
30,,05-02-2018,10-02-2018,,,,,,,,
31,,05-02-2018,10-02-2018,,,,,,,,
32,,05-02-2018,10-02-2018,,,,,,,19-03-2018,F
33,,05-02-2018,10-02-2018,,,,,,,,
34,,05-02-2018,10-02-2018,,,,,,,14-03-2018,M
35,,05-02-2018,10-02-2018,,,,,,,16-03-2018,M
36,,05-02-2018,10-02-2018,,,,,,,,
37,,05-02-2018,10-02-2018,,,,,,,20-03-2018,F
38,,05-02-2018,10-02-2018,,,,,,,,
