Cup #,Dead (DD/MM/YYYY),Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
39,14-06-2018,24-05-2018,29-05-2018,07-06-2018,,,,,,
40,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,14-06-2018,,19-06-2018,29-06-2018,M
41,,24-05-2018,29-05-2018,09-06-2018,14-06-2018,19-06-2018,,24-06-2018,04-07-2018,F
42,16-06-2018,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,,,
43,06-06-2018,24-05-2018,29-05-2018,05-06-2018,,,,,,
44,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
45,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,12-06-2018,,17-06-2018,26-06-2018,F
46,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,14-06-2018,,19-06-2018,30-06-2018,F
47,,24-05-2018,29-05-2018,05-06-2018,11-06-2018,15-06-2018,,20-06-2018,30-06-2018,M
48,05-06-2018,24-05-2018,29-05-2018,,,,,,,
49,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,F
50,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,,,16-06-2018,25-06-2018,M
51,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,12-06-2018,,16-06-2018,24-06-2018,M
52,,24-05-2018,29-05-2018,08-06-2018,13-06-2018,18-06-2018,,24-06-2018,03-07-2018,M
53,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,,,16-06-2018,25-06-2018,M
54,,24-05-2018,29-05-2018,06-06-2018,,,,,,
55,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,24-06-2018,M
56,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,,,16-06-2018,24-06-2018,M
57,,24-05-2018,29-05-2018,06-06-2018,12-06-2018,17-06-2018,,23-06-2018,01-07-2018,M
58,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
59,10-06-2018,24-05-2018,29-05-2018,,,,,,,
60,,24-05-2018,29-05-2018,07-06-2018,13-06-2018,18-06-2018,,23-06-2018,03-07-2018,M
61,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,14-06-2018,,20-06-2018,01-07-2018,F
62,,24-05-2018,29-05-2018,09-06-2018,14-06-2018,19-06-2018,,23-06-2018,01-07-2018,M
63,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,17-06-2018,26-06-2018,F
64,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,11-06-2018,13-06-2018,17-06-2018,27-06-2018,F
65,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,18-06-2018,28-06-2018,F
66,,24-05-2018,29-05-2018,05-06-2018,06-06-2018,10-06-2018,,16-06-2018,24-06-2018,M
