Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
152,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,10-02-2018,,13-02-2018,20-02-2018,F
153,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,20-02-2018,F
154,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,15-02-2018,,19-02-2018,24-02-2018,F
155,23-02-2018,28-01-2018,01-02-2018,07-02-2018,,,,,,
156,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,22-02-2018,F
157,06-02-2018,28-01-2018,01-02-2018,,,,,,,
158,,28-01-2018,01-02-2018,07-02-2018,,,,,,
159,06-02-2018,28-01-2018,01-02-2018,,,,,,,
160,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,10-02-2018,,12-02-2018,22-02-2018,F
161,06-02-2018,28-01-2018,01-02-2018,,,,,,,
162,14-02-2018,28-01-2018,01-02-2018,06-02-2018,09-02-2018,,,,,
163,,28-01-2018,01-02-2018,06-02-2018,10-02-2018,,,,,
164,05-02-2018,28-01-2018,01-02-2018,,,,,,,
165,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,13-02-2018,,18-02-2018,28-02-2018,M
166,07-02-2018,28-01-2018,01-02-2018,,,,,,,
167,06-02-2018,28-01-2018,01-02-2018,,,,,,,
168,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
169,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,09-02-2018,,13-02-2018,17-02-2018,F
170,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,16-02-2018,20-02-2018,M
171,07-02-2018,28-01-2018,01-02-2018,06-02-2018,,,,,,
172,06-02-2018,28-01-2018,01-02-2018,,,,,,,
173,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,17-02-2018,23-02-2018,F
174,16-02-2018,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,,,
175,07-02-2018,28-01-2018,01-02-2018,,,,,,,
176,21-02-2018,28-01-2018,01-02-2018,05-02-2018,09-02-2018,12-02-2018,,15-02-2018,,
177,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,12-02-2018,,16-02-2018,22-02-2018,F
178,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,21-02-2018,F
179,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
180,07-02-2018,28-01-2018,01-02-2018,05-02-2018,,,,,,
181,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,22-02-2018,F
182,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,16-02-2018,22-02-2018,F
183,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,20-02-2018,F
184,12-02-2018,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,,,
185,,28-01-2018,01-02-2018,07-02-2018,12-02-2018,,,,,
186,07-02-2018,28-01-2018,01-02-2018,06-02-2018,,,,,,
187,03-02-2018,28-01-2018,01-02-2018,,,,,,,
188,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,22-02-2018,F
189,06-02-2018,28-01-2018,01-02-2018,,,,,,,
190,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,20-02-2018,M
191,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,10-02-2018,,13-02-2018,19-02-2018,M
192,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,12-02-2018,,15-02-2018,21-02-2018,F
193,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
194,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
195,06-02-2018,28-01-2018,01-02-2018,,,,,,,
196,07-03-2018,28-01-2018,01-02-2018,04-02-2018,07-02-2018,10-02-2018,,12-02-2018,,
197,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,24-02-2018,F
198,,28-01-2018,01-02-2018,07-02-2018,10-02-2018,14-02-2018,,17-02-2018,22-02-2018,F
199,07-02-2018,28-01-2018,01-02-2018,05-02-2018,,,,,,
200,08-02-2018,28-01-2018,01-02-2018,06-02-2018,,,,,,
Extras,,,,,,,,,,
1,,28-01-2018,01-02-2018,,,,,,,
2,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
3,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
4,,28-01-2018,01-02-2018,,,,,,,
5,,28-01-2018,01-02-2018,,,,,,17-02-2018,M
6,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
7,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
8,,28-01-2018,01-02-2018,,,,,,,
9,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
10,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
11,,28-01-2018,01-02-2018,,,,,,21-02-2018,F
12,,28-01-2018,01-02-2018,,,,,,,
13,,28-01-2018,01-02-2018,,,,,,20-02-2018,M
14,,28-01-2018,01-02-2018,,,,,,20-02-2018,F
