Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
196,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,31-03-2018,,06-04-2018,,17-04-2018,F
197,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,05-04-2018,,15-04-2018,F
198,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,06-04-2018,,19-04-2018,F
199,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,30-03-2018,,05-04-2018,,13-04-2018,M
200,21-03-2018,09-03-2018,14-03-2018,,,,,,,,
Extras,,,,,,,,,,,
1,,09-03-2018,14-03-2018,,,,,,,15-04-2018,F
2,,09-03-2018,14-03-2018,,,,,,,,
3,,09-03-2018,14-03-2018,,,,,,,13-04-2018,M
4,,09-03-2018,14-03-2018,,,,,,,17-04-2018,M
5,,09-03-2018,14-03-2018,,,,,,,15-04-2018,M
6,,09-03-2018,14-03-2018,,,,,,,17-04-2018,F
7,,09-03-2018,14-03-2018,,,,,,,17-04-2018,F
8,,09-03-2018,14-03-2018,,,,,,,18-04-2018,F
9,,09-03-2018,14-03-2018,,,,,,,14-04-2018,F
10,,09-03-2018,14-03-2018,,,,,,,12-04-2018,F
11,,09-03-2018,14-03-2018,,,,,,,22-04-2018,F
12,,09-03-2018,14-03-2018,,,,,,,17-04-2018,F
13,,09-03-2018,14-03-2018,,,,,,,17-04-2018,F
14,,09-03-2018,14-03-2018,,,,,,,24-04-2018,M
15,,09-03-2018,14-03-2018,,,,,,,15-04-2018,M
16,,09-03-2018,14-03-2018,,,,,,,18-04-2018,F
17,,09-03-2018,14-03-2018,,,,,,,,
18,,09-03-2018,14-03-2018,,,,,,,20-04-2018,M
19,,09-03-2018,14-03-2018,,,,,,,17-04-2018,M
20,,09-03-2018,14-03-2018,,,,,,,17-04-2018,M
21,,09-03-2018,14-03-2018,,,,,,,22-04-2018,F
22,,09-03-2018,14-03-2018,,,,,,,12-04-2018,M
23,,09-03-2018,14-03-2018,,,,,,,19-04-2018,F
24,,09-03-2018,14-03-2018,,,,,,,15-04-2018,F
25,,09-03-2018,14-03-2018,,,,,,,19-04-2018,F
26,,09-03-2018,14-03-2018,,,,,,,14-04-2018,M
27,,09-03-2018,14-03-2018,,,,,,,,
28,,09-03-2018,14-03-2018,,,,,,,14-04-2018,F
29,,09-03-2018,14-03-2018,,,,,,,15-04-2018,F
30,,09-03-2018,14-03-2018,,,,,,,18-04-2018,F
31,,09-03-2018,14-03-2018,,,,,,,12-04-2018,M
32,,09-03-2018,14-03-2018,,,,,,,18-04-2018,M
33,,09-03-2018,14-03-2018,,,,,,,19-04-2018,F
34,,09-03-2018,14-03-2018,,,,,,,,
35,,09-03-2018,14-03-2018,,,,,,,,
36,,09-03-2018,14-03-2018,,,,,,,13-04-2018,M
37,,09-03-2018,14-03-2018,,,,,,,17-04-2018,F
38,,09-03-2018,14-03-2018,,,,,,,12-04-2018,M
39,,09-03-2018,14-03-2018,,,,,,,17-04-2018,F
40,,09-03-2018,14-03-2018,,,,,,,15-04-2018,M
41,,09-03-2018,14-03-2018,,,,,,,15-04-2018,M
42,,09-03-2018,14-03-2018,,,,,,,14-04-2018,M
43,,09-03-2018,14-03-2018,,,,,,,14-04-2018,F
44,,09-03-2018,14-03-2018,,,,,,,,
45,,09-03-2018,14-03-2018,,,,,,,27-04-2018,F
46,,09-03-2018,14-03-2018,,,,,,,14-04-2018,M
47,,09-03-2018,14-03-2018,,,,,,,18-04-2018,F
48,,09-03-2018,14-03-2018,,,,,,,15-04-2018,M
49,,09-03-2018,14-03-2018,,,,,,,17-04-2018,F
50,,09-03-2018,14-03-2018,,,,,,,20-04-2018,F
