Cup #,Dead,Crisper setup,L2,L3,L4,L5,L6,Pupa,Sex
28,,20-03-2018,25-03-2018,08-04-2018,29-04-2018,,,,
29,23-04-2018,20-03-2018,25-03-2018,05-04-2018,,,,,
30,16-04-2018,20-03-2018,25-03-2018,,,,,,
31,07-05-2018,20-03-2018,25-03-2018,09-04-2018,,,,,
32,30-04-2018,20-03-2018,25-03-2018,18-04-2018,,,,,
33,11-04-2018,20-03-2018,25-03-2018,,,,,,
34,,20-03-2018,25-03-2018,07-04-2018,27-04-2018,,,,
35,28-03-2018,20-03-2018,25-03-2018,,,,,,
36,30-04-2018,20-03-2018,25-03-2018,19-04-2018,,,,,
37,28-03-2018,20-03-2018,25-03-2018,,,,,,
38,28-03-2018,20-03-2018,25-03-2018,,,,,,
39,,20-03-2018,25-03-2018,07-04-2018,14-04-2018,22-04-2018,29-04-2018,12-05-2018,F
40,29-04-2018,20-03-2018,25-03-2018,08-04-2018,27-04-2018,,,,
41,14-05-2018,20-03-2018,25-03-2018,08-04-2018,28-04-2018,,,,
42,,20-03-2018,25-03-2018,06-04-2018,13-04-2018,22-04-2018,28-05-2018,,
43,20-04-2018,20-03-2018,25-03-2018,04-04-2018,11-04-2018,17-04-2018,,,
44,01-05-2018,20-03-2018,25-03-2018,11-04-2018,,,,,
45,08-06-2018,20-03-2018,25-03-2018,11-04-2018,,,,,
46,17-05-2018,20-03-2018,25-03-2018,04-04-2018,17-04-2018,22-04-2018,,,
47,,20-03-2018,25-03-2018,06-04-2018,12-04-2018,19-04-2018,28-04-2018,11-05-2018,F
48,,20-03-2018,25-03-2018,05-04-2018,13-04-2018,20-04-2018,29-04-2018,15-05-2018,F
49,17-05-2018,20-03-2018,25-03-2018,09-04-2018,15-04-2018,22-04-2018,05-05-2018,,
50,,20-03-2018,25-03-2018,10-04-2018,16-04-2018,24-04-2018,02-05-2018,15-05-2018,F
51,29-04-2018,20-03-2018,25-03-2018,11-04-2018,27-04-2018,,,,
52,,20-03-2018,25-03-2018,04-04-2018,11-04-2018,17-04-2018,24-04-2018,06-05-2018,M
53,29-03-2018,20-03-2018,25-03-2018,,,,,,
54,28-03-2018,20-03-2018,25-03-2018,,,,,,
